IndiceGene,ProbeSetID,Alpha,MeanPositive,MeanNegative,DeltaMean_Log2,T_Welch,P_Welch,FDR_Welch,AUC_PositiveHigher,AUC_Separation,EvidenceScore
30073,1445767_at,0.00115786950117351,3.605366,3.517482,0.0878839999999999,1.16087348120158,0.293659394307551,0.554420368979586,0.64,0.64,0.407127438524955
13616,1429310_at,0.000869568039478168,4.953612,4.76647,0.187142000000001,1.01559092407696,0.363779295567312,0.619349544069914,0.64,0.64,0.407123934754422
43235,1458940_at,0.000805465520039622,3.576006,3.550058,0.0259479999999996,0.400797168810201,0.699098082018223,0.855298268241176,0.68,0.68,0.407113818227817
9007,1424701_at,0.0012346267199153,3.92842,3.88956,0.0388599999999997,0.776483910422313,0.465375950498439,0.701923642011575,0.66,0.66,0.407101530489916
11595,1427289_at,-0.000939150542872785,3.297388,3.190346,0.107042,1.19972396687738,0.288546480082322,0.548894293230115,0.64,0.64,0.407069492224602
26064,1441758_at,-0.0013119504048375,5.255826,5.313746,-0.0579200000000002,-0.689515709911644,0.511656824546829,0.736107513601281,0.34,0.66,0.407049471632585
43059,1458764_at,0.00162974007927251,4.406326,4.41537,-0.00904400000000205,-0.0683079575585455,0.947966995234089,0.977338383972583,0.32,0.68,0.40698870240508
16323,1432017_at,-0.00061740542560894,5.652948,5.62684,0.0261079999999998,0.478971258156301,0.646949084119046,0.825701533728133,0.68,0.68,0.406953205588233
40562,1456267_at,0.00248478737893854,6.726462,6.65099,0.0754719999999995,0.760927304922986,0.468785881030863,0.704404864913309,0.64,0.64,0.406950894334681
37370,1453075_at,-0.000636755876799985,5.986192,6.034772,-0.0485800000000012,-0.387874781845402,0.708851785519076,0.86088766638022,0.32,0.68,0.406933670270537
10493,1426187_a_at,-0.000116807820784122,8.468016,8.419942,0.0480739999999997,0.601950502870059,0.570707203580758,0.777204710088042,0.68,0.68,0.406924593389292
27521,1443215_at,-0.000671551587663104,4.451016,4.48411,-0.0330940000000002,-0.43580607231937,0.679532610931103,0.844612255018565,0.32,0.68,0.406910505447304
3167,1418836_at,0.00132199107378221,7.120916,6.979232,0.141683999999999,0.966092732792618,0.372684302525374,0.627789449772052,0.64,0.64,0.406897981805812
602,1416271_at,-0.000757573321977982,3.91344,3.749748,0.163692000000001,1.07625485112435,0.323566515334975,0.583563538534119,0.64,0.64,0.406887423746172
17923,1433617_s_at,0.000682202715787286,7.795178,7.94677,-0.151592000000001,-1.14392881009079,0.302859617071567,0.563611479181046,0.36,0.64,0.406850700286431
10171,1425865_a_at,-0.000199541564606021,6.393534,6.266644,0.126890000000001,1.2847207303161,0.23527973605864,0.492063592672419,0.64,0.64,0.40685057187251
41604,1457309_at,-0.0022018560454065,3.495068,3.407886,0.0871819999999999,0.829112337209366,0.438001797264447,0.680573246689997,0.64,0.64,0.406805618594737
24986,1440680_at,-0.000894938073213279,5.56282,5.44164,0.12118,1.12092814440065,0.298143831682179,0.558552170503362,0.64,0.64,0.406767927611557
43543,1459248_at,0.00172674430190317,5.64814,5.537682,0.110458,0.935045194841955,0.394271953835917,0.645423374467485,0.64,0.64,0.406734434932239
