IndiceGene,ProbeSetID,F_ANOVA_7grupos,P_ANOVA_7grupos,FDR_ANOVA_7grupos
39937,1455642_a_at,4.03421398930026,0.00490064155891246,0.0156134384676823
3508,1419177_at,4.03372351598681,0.00490396140662075,0.0156229118739848
6647,1422341_s_at,4.03336667618725,0.00490637822681972,0.0156295073038421
44523,1460230_at,4.03296438424725,0.00490910439569359,0.0156370871777793
15458,1431152_at,4.03283014809185,0.00491001441542649,0.015638881366536
4086,1419755_at,4.03207544089427,0.00491513407756416,0.0156540824823262
3668,1419337_at,4.03158358224728,0.0049184737036575,0.0156636126612524
41998,1457703_at,4.03130113408708,0.0049203925556599,0.0156672738011688
34507,1450212_at,4.0312742395177,0.00492057530898315,0.0156672738011688
39923,1455628_at,4.03126097141838,0.00492066547068926,0.0156672738011688
35739,1451444_s_at,4.03107317368231,0.00492194181378836,0.0156702313810298
88,1415757_at,4.03085236371759,0.00492344296745273,0.0156739042334358
5845,1421539_at,4.03015652405034,0.00492817672464485,0.0156873846550071
36921,1452626_a_at,4.03012767959729,0.0049283730555153,0.0156873846550071
33449,1449149_at,4.02885186290901,0.00493706521787785,0.0157134260768487
42558,1458263_at,4.02880329140499,0.00493739645614666,0.0157134260768487
17330,1433024_at,4.02875321699811,0.00493773796818187,0.0157134260768487
19958,1435652_a_at,4.02872243889967,0.00493794789000634,0.0157134260768487
22080,1437774_at,4.02753678265848,0.00494604182948866,0.0157380720016769
35326,1451031_at,4.02739653200723,0.00494700018353633,0.0157400109543331
2501,1418170_a_at,4.02720775438174,0.00494829043939427,0.0157430055803556
27062,1442756_at,4.02671848369895,0.00495163615720551,0.0157525387829672
5852,1421546_a_at,4.02634168062431,0.00495421443022193,0.0157596293565693
12511,1428205_x_at,4.02594906529522,0.00495690240668223,0.0157670678781138
12689,1428383_a_at,4.02576279180906,0.00495817823617295,0.015770013866688
1140,1416809_at,4.02561749020996,0.00495917368062582,0.0157720677081944
32353,1448050_s_at,4.02541722129487,0.0049605460457135,0.0157753199272123
43884,1459589_at,4.02534621664405,0.00496103270930015,0.01577575521555
36349,1452054_at,4.02380281726333,0.00497162358686676,0.0158083189080145
21937,1437631_at,4.02362536404239,0.00497284280846533,0.015811022203988
16568,1432262_at,4.02357703787947,0.00497317489602833,0.015811022203988
37311,1453016_at,4.02342880863155,0.00497419364335494,0.0158131463670227
35905,1451610_at,4.02311438800345,0.00497635531737672,0.0158189033809563
15900,1431594_at,4.02305841319006,0.00497674025395878,0.0158190120652474
31829,1447523_at,4.02242885812489,0.00498107184542818,0.0158316646441618
